ticket_id,customer_id,order_id,category,channel,status,created_date,ticket_body
33,495,1973,Food Quality,Phone,Resolved,2025-08-24,"The food in order #1973 from Bell-Jimenez was undercooked, wanted to flag it for quality review."
34,242,756,Courier Behavior,Chat,In Progress,2024-02-09,"Courier on order #756 was great, arrived early and handled the bag carefully, wanted to say thanks."
35,496,1253,General Feedback,Phone,In Progress,2025-07-10,"Suggestion: it would help to have a live courier map for order #1253, would have eased the wait."
36,179,751,Missing Items,Chat,Resolved,2024-04-06,"Order #751 from Garcia, Pena and Adams was missing the drink we paid for. Can this be refunded?"
37,117,436,General Feedback,Email,In Progress,2024-09-04,"Just wanted to say the Cooper and Sons order #436 experience was smooth end to end, great job."
38,325,590,General Feedback,Phone,In Progress,2025-07-19,"Suggestion: it would help to have a live courier map for order #590, would have eased the wait."
39,313,38,General Feedback,Email,In Progress,2024-04-07,"Suggestion: it would help to have a live courier map for order #38, would have eased the wait."
40,118,625,Order Issue,Email,Resolved,2024-01-29,"Order #625 arrived with the wrong items entirely, we ordered from Nelson, Graham and Fields and got someone else's bag."
41,276,1011,General Feedback,Email,Open,2025-04-19,"Suggestion: it would help to have a live courier map for order #1011, would have eased the wait."
42,490,2321,Payment Issue,Email,Resolved,2024-02-19,Promo code didn't apply on order #2321 even though it was valid at checkout.
43,250,2429,Payment Issue,Email,Resolved,2025-05-17,"I was charged for order #2429 but the app still shows it as failed, please check my payment method."
44,61,868,Late Delivery,Phone,Open,2024-02-10,"Still waiting on order #868, tracking hasn't updated in 40 minutes."
45,155,1642,Payment Issue,Phone,Open,2024-06-07,Promo code didn't apply on order #1642 even though it was valid at checkout.
46,219,338,Missing Items,Phone,In Progress,2024-09-12,"Order #338 from Cruz, Jackson and Kane was missing the drink we paid for. Can this be refunded?"
47,205,1935,Order Issue,Email,Resolved,2024-06-29,"My order #1935 from Johnson, Roberts and Smith never showed up, the app says delivered but nothing arrived."
48,172,1318,Food Quality,Phone,Open,2024-08-16,"The food in order #1318 from Jackson, Walters and Michael was undercooked, wanted to flag it for quality review."
49,498,1968,Courier Behavior,Chat,Resolved,2025-03-31,"Courier on order #1968 was great, arrived early and handled the bag carefully, wanted to say thanks."
50,156,2260,Missing Items,Chat,Open,2024-05-15,"Order #2260 from Castaneda, Day and Weaver was missing the drink we paid for. Can this be refunded?"
51,139,2304,Order Issue,Phone,In Progress,2025-03-16,"My order #2304 from Sanders, Smith and Smith never showed up, the app says delivered but nothing arrived."
52,128,1446,Order Issue,Email,Resolved,2024-04-18,"My order #1446 from Ross Group never showed up, the app says delivered but nothing arrived."
53,413,2154,Food Quality,Chat,In Progress,2025-03-22,"Order #2154 from Cooper and Sons was excellent, best meal we've had delivered in months."
54,413,283,Food Quality,Chat,Open,2024-09-26,"The food in order #283 from Castaneda, Day and Weaver was undercooked, wanted to flag it for quality review."
55,108,226,Courier Behavior,Phone,Resolved,2024-09-06,"Courier on order #226 was great, arrived early and handled the bag carefully, wanted to say thanks."
56,386,1138,Late Delivery,Chat,Open,2024-03-29,"Order #1138 from Myers, Shelton and Garcia took over 90 minutes, way past the estimate shown at checkout."
57,183,790,Late Delivery,Phone,Resolved,2025-07-13,"Order #790 from Garza-Shea took over 90 minutes, way past the estimate shown at checkout."
58,146,1640,Courier Behavior,Phone,Open,2024-07-08,"Courier on order #1640 was great, arrived early and handled the bag carefully, wanted to say thanks."
59,241,48,Food Quality,Email,Open,2024-08-25,"The food in order #48 from Cooper, Ross and Perkins was undercooked, wanted to flag it for quality review."
60,228,1765,Refund Request,Phone,Open,2025-02-04,"Requesting a refund for order #1765, the Smith Group order arrived spilled and inedible."
61,154,395,Order Issue,Chat,Resolved,2024-01-13,"My order #395 from Williams LLC never showed up, the app says delivered but nothing arrived."
62,38,85,Missing Items,Email,Resolved,2024-01-10,"Two items missing from order #85, Cooper, Ross and Perkins forgot the side dish again."
63,154,610,Payment Issue,Phone,Open,2025-05-06,"I was charged for order #610 but the app still shows it as failed, please check my payment method."
64,335,159,Refund Request,Email,In Progress,2025-05-04,"Requesting a refund for order #159, the Ellis, Parks and Jimenez order arrived spilled and inedible."
65,157,690,General Feedback,Chat,Open,2025-02-01,"Suggestion: it would help to have a live courier map for order #690, would have eased the wait."
66,346,2351,Missing Items,Email,Open,2025-06-06,Order #2351 from Jensen-Watkins was missing the drink we paid for. Can this be refunded?
67,15,1721,Late Delivery,Phone,Resolved,2024-03-15,"Order #1721 from Thomas-Williamson took over 90 minutes, way past the estimate shown at checkout."
68,255,1440,Late Delivery,Email,In Progress,2025-10-02,"Order #1440 from Murphy and Sons took over 90 minutes, way past the estimate shown at checkout."
69,238,538,Courier Behavior,Phone,In Progress,2024-03-02,Courier for order #538 left the bag at the wrong door and didn't knock.
70,175,352,Food Quality,Phone,In Progress,2024-01-29,"The food in order #352 from Smith Group was undercooked, wanted to flag it for quality review."
71,154,1155,Refund Request,Phone,In Progress,2025-09-12,"Please refund order #1155, I was charged twice for the same Thomas-Williamson order."
72,184,2297,Refund Request,Phone,Resolved,2025-06-05,"Requesting a refund for order #2297, the Williams LLC order arrived spilled and inedible."
73,352,1052,Food Quality,Chat,Resolved,2025-06-17,"The food in order #1052 from Rodriguez-Murray was undercooked, wanted to flag it for quality review."
74,223,2306,Payment Issue,Chat,In Progress,2025-09-06,Promo code didn't apply on order #2306 even though it was valid at checkout.
75,191,1958,Order Issue,Chat,Resolved,2024-03-27,"My order #1958 from Kelly, Harris and Pruitt never showed up, the app says delivered but nothing arrived."
76,64,2473,Late Delivery,Phone,In Progress,2025-02-06,"Order #2473 from Kelly, Harris and Pruitt took over 90 minutes, way past the estimate shown at checkout."
77,440,1657,Payment Issue,Email,In Progress,2024-11-06,Promo code didn't apply on order #1657 even though it was valid at checkout.
78,151,1666,Courier Behavior,Phone,Resolved,2025-05-14,"Courier on order #1666 was great, arrived early and handled the bag carefully, wanted to say thanks."
79,118,2122,Food Quality,Phone,In Progress,2024-04-03,"The food in order #2122 from Tran Group was undercooked, wanted to flag it for quality review."
80,250,795,General Feedback,Email,Resolved,2025-09-23,"Just wanted to say the Jackson, Walters and Michael order #795 experience was smooth end to end, great job."
81,441,2170,Missing Items,Email,In Progress,2024-10-04,"Two items missing from order #2170, Tran Group forgot the side dish again."
82,244,837,Payment Issue,Phone,In Progress,2024-09-02,"I was charged for order #837 but the app still shows it as failed, please check my payment method."
83,175,1008,Refund Request,Phone,Open,2024-12-09,"Please refund order #1008, I was charged twice for the same Hill-Mckay order."
84,48,1606,Food Quality,Phone,Resolved,2025-03-10,"Order #1606 from Jackson, Walters and Michael was excellent, best meal we've had delivered in months."
85,84,2086,Refund Request,Email,In Progress,2024-07-13,"Requesting a refund for order #2086, the Myers, Shelton and Garcia order arrived spilled and inedible."
86,312,1443,Courier Behavior,Chat,In Progress,2025-08-18,"Courier on order #1443 was great, arrived early and handled the bag carefully, wanted to say thanks."
87,304,1431,Late Delivery,Email,Resolved,2024-10-25,"Order #1431 from Lowe, Ewing and Short took over 90 minutes, way past the estimate shown at checkout."
88,418,2085,Refund Request,Email,Resolved,2024-12-11,"Requesting a refund for order #2085, the Bell-Jimenez order arrived spilled and inedible."
89,216,1932,Late Delivery,Phone,Open,2025-02-05,"Still waiting on order #1932, tracking hasn't updated in 40 minutes."
90,396,842,General Feedback,Email,In Progress,2025-07-04,"Just wanted to say the Whitaker-Paul order #842 experience was smooth end to end, great job."
91,248,236,Courier Behavior,Phone,Resolved,2024-03-14,Courier for order #236 left the bag at the wrong door and didn't knock.
92,395,124,Payment Issue,Phone,Resolved,2025-02-06,"I was charged for order #124 but the app still shows it as failed, please check my payment method."
93,254,1500,Order Issue,Chat,In Progress,2025-05-21,"Order #1500 arrived with the wrong items entirely, we ordered from Cruz, Jackson and Kane and got someone else's bag."
94,128,1291,General Feedback,Email,Resolved,2025-03-06,"Just wanted to say the Cruz, Jackson and Kane order #1291 experience was smooth end to end, great job."
95,499,791,Refund Request,Chat,In Progress,2025-05-16,"Please refund order #791, I was charged twice for the same Myers, Shelton and Garcia order."
96,218,1963,Missing Items,Phone,In Progress,2024-11-16,"Two items missing from order #1963, Sanders, Smith and Smith forgot the side dish again."
97,414,1127,Missing Items,Chat,Open,2025-01-05,"Order #1127 from Wallace, Ortiz and Murray was missing the drink we paid for. Can this be refunded?"
98,108,888,Order Issue,Chat,In Progress,2024-04-20,"Order #888 arrived with the wrong items entirely, we ordered from Combs-Stone and got someone else's bag."
99,231,1565,Payment Issue,Chat,Resolved,2025-03-09,"I was charged for order #1565 but the app still shows it as failed, please check my payment method."
100,240,792,Refund Request,Email,Resolved,2024-03-02,"Requesting a refund for order #792, the Castaneda, Day and Weaver order arrived spilled and inedible."
101,284,1188,Order Issue,Phone,Resolved,2024-10-10,"Order #1188 arrived with the wrong items entirely, we ordered from Rodriguez-Murray and got someone else's bag."
102,341,675,Payment Issue,Chat,Open,2024-08-13,Promo code didn't apply on order #675 even though it was valid at checkout.
103,251,2271,Payment Issue,Chat,Open,2024-01-24,Promo code didn't apply on order #2271 even though it was valid at checkout.
104,15,2098,Courier Behavior,Chat,In Progress,2024-07-27,Courier for order #2098 left the bag at the wrong door and didn't knock.
105,103,1025,Order Issue,Chat,Resolved,2025-09-20,"Order #1025 arrived with the wrong items entirely, we ordered from Bell, Williamson and Duncan and got someone else's bag."
106,370,286,Payment Issue,Chat,Open,2024-09-09,Promo code didn't apply on order #286 even though it was valid at checkout.
107,129,1734,Food Quality,Chat,In Progress,2025-09-16,"The food in order #1734 from Bell-Jimenez was undercooked, wanted to flag it for quality review."
108,461,2013,Late Delivery,Chat,In Progress,2024-04-19,"Order #2013 from Smith Group took over 90 minutes, way past the estimate shown at checkout."
109,12,335,Order Issue,Email,In Progress,2025-03-21,"Order #335 arrived with the wrong items entirely, we ordered from Wallace, Ortiz and Murray and got someone else's bag."
110,71,47,Food Quality,Chat,Open,2024-04-12,"Order #47 from Garcia, Pena and Adams was excellent, best meal we've had delivered in months."
111,257,119,Missing Items,Email,In Progress,2025-03-29,"Two items missing from order #119, Kelly, Harris and Pruitt forgot the side dish again."
112,31,973,Late Delivery,Email,In Progress,2024-01-24,"Still waiting on order #973, tracking hasn't updated in 40 minutes."
113,6,1426,Payment Issue,Email,In Progress,2025-03-23,"I was charged for order #1426 but the app still shows it as failed, please check my payment method."
114,169,28,Courier Behavior,Chat,In Progress,2025-06-03,"Courier on order #28 was great, arrived early and handled the bag carefully, wanted to say thanks."
115,341,357,Food Quality,Email,Open,2025-01-16,"Order #357 from Nelson LLC was excellent, best meal we've had delivered in months."
116,369,1245,Late Delivery,Email,Resolved,2025-01-21,"Order #1245 from Cruz, Jackson and Kane took over 90 minutes, way past the estimate shown at checkout."
117,500,1462,Late Delivery,Chat,Open,2024-11-17,"Still waiting on order #1462, tracking hasn't updated in 40 minutes."
118,105,1278,Courier Behavior,Phone,Open,2024-10-24,"Courier on order #1278 was great, arrived early and handled the bag carefully, wanted to say thanks."
119,160,2185,Refund Request,Email,In Progress,2024-01-25,"Please refund order #2185, I was charged twice for the same Ellis, Parks and Jimenez order."
120,177,572,Refund Request,Phone,Resolved,2024-01-23,"Requesting a refund for order #572, the Kelly, Harris and Pruitt order arrived spilled and inedible."
121,338,557,Food Quality,Phone,In Progress,2024-01-21,"Order #557 from Murphy and Sons was excellent, best meal we've had delivered in months."
122,56,439,General Feedback,Email,In Progress,2025-03-10,"Just wanted to say the Olson-Estrada order #439 experience was smooth end to end, great job."
123,121,1876,Missing Items,Phone,In Progress,2024-08-22,"Two items missing from order #1876, Duran PLC forgot the side dish again."
124,173,2247,Payment Issue,Phone,In Progress,2024-06-10,Promo code didn't apply on order #2247 even though it was valid at checkout.
125,293,2111,Late Delivery,Email,Resolved,2025-06-13,"Order #2111 from Johnson, Roberts and Smith took over 90 minutes, way past the estimate shown at checkout."
126,83,1411,Refund Request,Phone,In Progress,2024-02-19,"Requesting a refund for order #1411, the Neal, Gomez and Watkins order arrived spilled and inedible."
127,359,1290,Refund Request,Email,Open,2024-04-04,"Requesting a refund for order #1290, the Smith Group order arrived spilled and inedible."
128,227,2035,Order Issue,Chat,Resolved,2024-09-18,"My order #2035 from Neal, Gomez and Watkins never showed up, the app says delivered but nothing arrived."
129,445,2040,General Feedback,Phone,Open,2025-03-22,"Suggestion: it would help to have a live courier map for order #2040, would have eased the wait."
130,411,2367,Payment Issue,Chat,In Progress,2024-11-15,"I was charged for order #2367 but the app still shows it as failed, please check my payment method."
131,7,302,Late Delivery,Chat,Open,2025-09-27,"Order #302 from Smith Group took over 90 minutes, way past the estimate shown at checkout."
132,434,1382,Order Issue,Phone,Resolved,2025-04-26,"Order #1382 arrived with the wrong items entirely, we ordered from Hill-Mckay and got someone else's bag."
133,330,1146,Food Quality,Chat,Open,2024-07-19,"The food in order #1146 from Jensen-Watkins was undercooked, wanted to flag it for quality review."
134,372,1151,Missing Items,Chat,In Progress,2024-07-02,Order #1151 from Combs-Stone was missing the drink we paid for. Can this be refunded?
135,491,1507,Missing Items,Email,In Progress,2024-07-02,"Two items missing from order #1507, Castaneda, Day and Weaver forgot the side dish again."
136,175,2377,Late Delivery,Chat,Open,2024-11-29,"Order #2377 from Ross Group took over 90 minutes, way past the estimate shown at checkout."
137,387,2335,Late Delivery,Email,Open,2025-05-27,"Still waiting on order #2335, tracking hasn't updated in 40 minutes."
138,246,116,Order Issue,Chat,Open,2024-02-19,"My order #116 from Dominguez-Short never showed up, the app says delivered but nothing arrived."
139,219,1512,General Feedback,Chat,Open,2025-09-15,"Suggestion: it would help to have a live courier map for order #1512, would have eased the wait."
140,60,2381,Courier Behavior,Phone,Open,2025-04-10,"Courier on order #2381 was great, arrived early and handled the bag carefully, wanted to say thanks."
141,349,1678,Late Delivery,Email,Open,2024-06-14,"Order #1678 from Thomas-Williamson took over 90 minutes, way past the estimate shown at checkout."
142,196,1419,Order Issue,Phone,Open,2024-01-01,"Order #1419 arrived with the wrong items entirely, we ordered from Olson-Estrada and got someone else's bag."
143,60,1346,Payment Issue,Email,In Progress,2025-02-08,Promo code didn't apply on order #1346 even though it was valid at checkout.
144,57,51,Food Quality,Email,Resolved,2024-12-28,"Order #51 from Jackson, Bowman and Drake was excellent, best meal we've had delivered in months."
145,108,1586,Food Quality,Email,In Progress,2024-06-19,"Order #1586 from Gallegos, Taylor and West was excellent, best meal we've had delivered in months."
146,387,2293,General Feedback,Chat,Open,2024-03-16,"Suggestion: it would help to have a live courier map for order #2293, would have eased the wait."
147,274,1569,Courier Behavior,Chat,Resolved,2025-02-26,"Courier on order #1569 was great, arrived early and handled the bag carefully, wanted to say thanks."
148,123,1028,Food Quality,Phone,In Progress,2024-01-25,"Order #1028 from Bell-Jimenez was excellent, best meal we've had delivered in months."
149,465,2148,Courier Behavior,Chat,Open,2024-08-08,"Courier on order #2148 was great, arrived early and handled the bag carefully, wanted to say thanks."
150,130,1213,Food Quality,Phone,Resolved,2024-05-23,"The food in order #1213 from Whitaker-Paul was undercooked, wanted to flag it for quality review."
151,190,1909,Payment Issue,Chat,Open,2024-01-17,Promo code didn't apply on order #1909 even though it was valid at checkout.
152,451,1823,Refund Request,Phone,In Progress,2025-02-12,"Please refund order #1823, I was charged twice for the same Hawkins PLC order."
153,328,69,General Feedback,Phone,Open,2025-04-19,"Just wanted to say the Howell Group order #69 experience was smooth end to end, great job."
154,75,267,Late Delivery,Chat,Open,2024-05-29,"Still waiting on order #267, tracking hasn't updated in 40 minutes."
155,476,2197,Missing Items,Phone,Open,2024-12-24,"Two items missing from order #2197, Arnold, Montgomery and Doyle forgot the side dish again."
156,240,138,General Feedback,Email,In Progress,2024-03-20,"Just wanted to say the Hensley, Johnson and Adams order #138 experience was smooth end to end, great job."
157,97,1075,Payment Issue,Email,Resolved,2025-05-03,Promo code didn't apply on order #1075 even though it was valid at checkout.
158,232,427,Order Issue,Chat,In Progress,2024-12-05,"My order #427 from Hensley, Johnson and Adams never showed up, the app says delivered but nothing arrived."
159,113,1240,Refund Request,Email,Open,2024-01-12,"Please refund order #1240, I was charged twice for the same Williams, Campos and Cummings order."
160,487,2340,Missing Items,Email,Resolved,2025-07-29,Order #2340 from Miles Group was missing the drink we paid for. Can this be refunded?
161,412,176,Payment Issue,Chat,Resolved,2024-08-11,"I was charged for order #176 but the app still shows it as failed, please check my payment method."
162,129,1764,Courier Behavior,Phone,In Progress,2024-12-08,Courier for order #1764 left the bag at the wrong door and didn't knock.
163,256,1072,General Feedback,Email,In Progress,2024-10-18,"Just wanted to say the Hensley, Johnson and Adams order #1072 experience was smooth end to end, great job."
164,281,2249,Courier Behavior,Email,Resolved,2024-05-06,Courier for order #2249 left the bag at the wrong door and didn't knock.
165,30,1143,General Feedback,Phone,Resolved,2024-02-07,"Just wanted to say the Peters, Golden and Ballard order #1143 experience was smooth end to end, great job."
166,368,2146,Missing Items,Phone,In Progress,2025-03-26,Order #2146 from Williams LLC was missing the drink we paid for. Can this be refunded?
167,137,1964,Payment Issue,Chat,Open,2024-04-05,"I was charged for order #1964 but the app still shows it as failed, please check my payment method."
168,33,1117,Food Quality,Phone,Open,2024-02-12,"Order #1117 from Hensley, Johnson and Adams was excellent, best meal we've had delivered in months."
169,229,2151,Order Issue,Chat,Open,2024-07-18,"My order #2151 from Howell Group never showed up, the app says delivered but nothing arrived."
170,384,754,Food Quality,Phone,Open,2025-03-13,"The food in order #754 from Nelson LLC was undercooked, wanted to flag it for quality review."
171,316,2500,Payment Issue,Chat,Open,2024-06-16,"I was charged for order #2500 but the app still shows it as failed, please check my payment method."
172,382,723,Order Issue,Email,In Progress,2024-03-08,"My order #723 from Peters, Golden and Ballard never showed up, the app says delivered but nothing arrived."
173,215,2095,Refund Request,Chat,Resolved,2025-05-20,"Please refund order #2095, I was charged twice for the same Cruz, Jackson and Kane order."
174,28,623,Missing Items,Email,In Progress,2024-12-16,"Order #623 from Jackson, Walters and Michael was missing the drink we paid for. Can this be refunded?"
175,492,2069,Courier Behavior,Phone,Resolved,2025-07-25,"Courier on order #2069 was great, arrived early and handled the bag carefully, wanted to say thanks."
176,121,811,Courier Behavior,Email,Open,2025-08-26,"Courier on order #811 was great, arrived early and handled the bag carefully, wanted to say thanks."
177,154,218,Payment Issue,Chat,Open,2025-03-20,"I was charged for order #218 but the app still shows it as failed, please check my payment method."
178,237,2005,General Feedback,Phone,Resolved,2024-11-03,"Just wanted to say the Herman-Williams order #2005 experience was smooth end to end, great job."
179,460,204,General Feedback,Chat,Resolved,2024-11-03,"Just wanted to say the Ross Group order #204 experience was smooth end to end, great job."
180,50,1911,Payment Issue,Chat,Resolved,2024-08-16,"I was charged for order #1911 but the app still shows it as failed, please check my payment method."
181,467,1415,Refund Request,Phone,Open,2024-04-10,"Requesting a refund for order #1415, the Ellis, Parks and Jimenez order arrived spilled and inedible."
182,434,2028,Courier Behavior,Email,In Progress,2025-03-05,"Courier on order #2028 was great, arrived early and handled the bag carefully, wanted to say thanks."
183,113,5,Courier Behavior,Chat,Open,2024-06-15,"Courier on order #5 was great, arrived early and handled the bag carefully, wanted to say thanks."
184,400,479,General Feedback,Phone,Open,2025-03-22,"Suggestion: it would help to have a live courier map for order #479, would have eased the wait."
185,440,172,Food Quality,Chat,In Progress,2025-04-29,"Order #172 from Smith Group was excellent, best meal we've had delivered in months."
186,264,982,Order Issue,Phone,Open,2024-11-11,"My order #982 from Cooper and Sons never showed up, the app says delivered but nothing arrived."
187,108,1045,Refund Request,Phone,In Progress,2025-08-25,"Please refund order #1045, I was charged twice for the same Dominguez-Short order."
188,449,1861,Refund Request,Phone,Open,2024-10-20,"Please refund order #1861, I was charged twice for the same Hensley, Johnson and Adams order."
189,396,908,Refund Request,Phone,Open,2025-09-04,"Requesting a refund for order #908, the Lowe, Ewing and Short order arrived spilled and inedible."
190,108,2012,Courier Behavior,Chat,Open,2024-03-25,"Courier on order #2012 was great, arrived early and handled the bag carefully, wanted to say thanks."
191,218,1779,Missing Items,Chat,Resolved,2025-03-14,"Order #1779 from Guzman, Brown and Larsen was missing the drink we paid for. Can this be refunded?"
192,382,1401,General Feedback,Email,Resolved,2024-06-04,"Suggestion: it would help to have a live courier map for order #1401, would have eased the wait."
193,141,1178,Order Issue,Phone,Open,2024-02-03,"Order #1178 arrived with the wrong items entirely, we ordered from Jensen-Watkins and got someone else's bag."
194,453,1216,Late Delivery,Phone,Resolved,2024-12-31,"Still waiting on order #1216, tracking hasn't updated in 40 minutes."
195,412,568,Missing Items,Chat,In Progress,2024-12-04,Order #568 from Duran PLC was missing the drink we paid for. Can this be refunded?
196,209,1583,Missing Items,Email,Open,2024-02-10,Order #1583 from Rojas-Tanner was missing the drink we paid for. Can this be refunded?
197,35,1314,Order Issue,Chat,In Progress,2025-05-17,"Order #1314 arrived with the wrong items entirely, we ordered from Jensen-Watkins and got someone else's bag."
198,343,2342,Missing Items,Email,In Progress,2025-09-22,"Two items missing from order #2342, Smith Group forgot the side dish again."
199,4,879,Missing Items,Chat,Open,2025-04-18,"Two items missing from order #879, Williams, Campos and Cummings forgot the side dish again."
200,86,1309,Payment Issue,Email,Resolved,2025-06-11,"I was charged for order #1309 but the app still shows it as failed, please check my payment method."
201,85,877,Missing Items,Email,Open,2024-10-17,"Two items missing from order #877, Cooper, Ross and Perkins forgot the side dish again."
202,200,857,Order Issue,Phone,Resolved,2024-06-15,"My order #857 from Hensley, Johnson and Adams never showed up, the app says delivered but nothing arrived."
203,130,1873,General Feedback,Phone,Resolved,2024-11-09,"Just wanted to say the Rodriguez-Murray order #1873 experience was smooth end to end, great job."
204,335,2400,Payment Issue,Phone,Open,2024-11-12,Promo code didn't apply on order #2400 even though it was valid at checkout.
205,71,1529,Courier Behavior,Chat,In Progress,2024-06-01,Courier for order #1529 left the bag at the wrong door and didn't knock.
206,289,349,Late Delivery,Chat,Open,2025-08-24,"Order #349 from Miles Group took over 90 minutes, way past the estimate shown at checkout."
207,293,2451,Missing Items,Chat,In Progress,2024-05-09,Order #2451 from Williams LLC was missing the drink we paid for. Can this be refunded?
208,156,948,Late Delivery,Phone,In Progress,2024-11-23,"Order #948 from Johnson, Roberts and Smith took over 90 minutes, way past the estimate shown at checkout."
209,444,1270,Refund Request,Phone,In Progress,2024-05-05,"Please refund order #1270, I was charged twice for the same Lang PLC order."
210,387,2157,Payment Issue,Phone,Resolved,2024-02-04,"I was charged for order #2157 but the app still shows it as failed, please check my payment method."
211,477,2357,Courier Behavior,Phone,Open,2024-12-19,Courier for order #2357 left the bag at the wrong door and didn't knock.
212,144,1560,Missing Items,Chat,In Progress,2025-02-02,"Order #1560 from Guzman, Brown and Larsen was missing the drink we paid for. Can this be refunded?"
213,120,1271,Late Delivery,Phone,Resolved,2025-02-11,"Still waiting on order #1271, tracking hasn't updated in 40 minutes."
214,81,1133,Courier Behavior,Chat,In Progress,2025-03-08,"Courier on order #1133 was great, arrived early and handled the bag carefully, wanted to say thanks."
215,396,209,Courier Behavior,Chat,Open,2024-09-13,Courier for order #209 left the bag at the wrong door and didn't knock.
216,500,1617,Food Quality,Phone,In Progress,2024-05-31,"The food in order #1617 from Sanders, Smith and Smith was undercooked, wanted to flag it for quality review."
217,327,840,Order Issue,Chat,Resolved,2025-09-10,"Order #840 arrived with the wrong items entirely, we ordered from Ellis, Parks and Jimenez and got someone else's bag."
218,267,442,General Feedback,Chat,Resolved,2024-07-03,"Just wanted to say the Hensley, Johnson and Adams order #442 experience was smooth end to end, great job."
